ttM,uM,fBT,hp,tcM,startR,branch,BvR_T,BvR_Cq%,BvR_Cs%,BvR_Tb%,SvA_T,SvA_WR%,SvR_T,SvR_WR%,WvR_T,WvR_WR%
10,8,10,2500,5,30,35,206.3,0,47,53,118.0,76.7,109.9,86.7,106.7,70.0
10,8,10,2500,5,30,40,180.6,0,53,47,130.2,76.7,135.6,83.3,105.9,66.7
10,8,10,2500,5,40,25,177.9,0,63,37,98.2,16.7,83.2,36.7,80.5,43.3
10,8,10,2500,5,40,30,171.9,0,57,43,112.5,56.7,105.4,83.3,90.7,70.0
10,8,10,2500,5,40,35,188.4,0,53,47,113.0,73.3,107.2,80.0,91.3,83.3
10,8,10,2500,5,40,40,209.1,0,40,60,119.4,83.3,105.9,83.3,107.5,73.3
10,8,10,2500,5,50,25,203.8,0,43,57,105.8,46.7,77.8,26.7,74.6,26.7
10,8,10,2500,5,50,30,185.8,0,50,50,112.8,66.7,103.6,63.3,85.9,63.3
10,8,10,2500,5,50,35,191.6,0,47,53,116.1,90.0,106.7,83.3,87.9,70.0
10,8,10,2500,5,50,40,162.1,0,60,40,118.5,76.7,119.8,93.3,104.9,66.7
10,8,10,3000,3,30,25,135.6,0,70,30,120.8,60.0,93.9,53.3,79.1,16.7
10,8,10,3000,3,30,30,220.4,0,33,67,117.1,70.0,124.6,66.7,92.1,56.7
10,8,10,3000,3,30,35,182.7,0,50,50,129.9,76.7,115.1,90.0,89.7,53.3
10,8,10,3000,3,30,40,179.9,0,50,50,130.7,80.0,125.7,83.3,104.0,80.0
10,8,10,3000,3,40,25,182.9,0,50,50,111.8,46.7,94.1,33.3,74.8,36.7
10,8,10,3000,3,40,30,182.0,0,50,50,127.3,70.0,101.8,60.0,82.7,46.7
10,8,10,3000,3,40,35,186.8,0,47,53,130.3,70.0,120.9,83.3,92.4,63.3
10,8,10,3000,3,40,40,207.6,0,40,60,138.2,86.7,128.7,53.3,92.9,66.7
10,8,10,3000,3,50,25,45.8,0,100,0,114.7,36.7,51.9,6.7,48.0,3.3
10,8,10,3000,3,50,30,48.7,0,100,0,122.3,70.0,69.3,26.7,47.2,3.3
10,8,10,3000,3,50,35,46.8,0,100,0,50.3,90.0,65.7,96.7,67.1,20.0
10,8,10,3000,3,50,40,48.1,0,100,0,50.7,90.0,57.0,93.3,69.7,13.3
10,8,10,3000,4,30,25,182.3,0,53,47,108.2,36.7,114.3,56.7,89.1,53.3
10,8,10,3000,4,30,30,155.2,0,63,37,129.6,76.7,123.7,90.0,102.9,83.3
10,8,10,3000,4,30,35,152.6,0,67,33,128.9,63.3,116.2,70.0,100.6,76.7
10,8,10,3000,4,30,40,187.4,0,50,50,137.5,93.3,124.7,80.0,103.3,83.3
10,8,10,3000,4,40,25,153.0,0,63,37,119.5,53.3,105.4,56.7,74.9,26.7
10,8,10,3000,4,40,30,152.3,0,63,37,121.2,83.3,129.4,83.3,87.5,70.0
10,8,10,3000,4,40,35,178.0,0,53,47,130.4,96.7,110.1,80.0,102.6,76.7
10,8,10,3000,4,40,40,142.8,0,67,33,139.7,86.7,119.5,70.0,95.3,76.7
10,8,10,3000,4,50,25,136.3,0,70,30,116.9,56.7,82.7,20.0,74.1,26.7
10,8,10,3000,4,50,30,157.7,0,60,40,117.6,70.0,119.5,80.0,73.1,33.3
10,8,10,3000,4,50,35,198.5,0,43,57,129.6,76.7,114.8,80.0,88.8,53.3
10,8,10,3000,4,50,40,158.3,0,60,40,136.7,70.0,130.3,63.3,97.9,76.7
10,8,10,3000,5,30,25,156.7,0,67,33,114.2,70.0,109.2,66.7,91.3,50.0
10,8,10,3000,5,30,30,188.8,0,50,50,118.0,43.3,124.8,83.3,116.2,66.7
10,8,10,3000,5,30,35,189.9,0,50,50,129.6,80.0,126.7,66.7,115.0,70.0
10,8,10,3000,5,30,40,183.7,0,53,47,132.6,73.3,127.3,80.0,133.9,66.7
10,8,10,3000,5,40,25,186.7,0,50,50,119.5,33.3,94.6,56.7,78.5,30.0
10,8,10,3000,5,40,30,171.7,0,57,43,123.3,63.3,106.6,83.3,99.0,70.0
10,8,10,3000,5,40,35,199.4,0,47,53,128.8,80.0,121.0,66.7,94.4,76.7
10,8,10,3000,5,40,40,165.6,0,60,40,129.8,66.7,129.7,73.3,111.3,90.0
10,8,10,3000,5,50,25,152.1,0,63,37,119.3,40.0,91.9,36.7,70.6,10.0
10,8,10,3000,5,50,30,156.8,0,63,37,117.3,66.7,111.1,73.3,92.1,63.3
10,8,10,3000,5,50,35,200.7,0,43,57,129.2,86.7,124.7,90.0,95.5,60.0
10,8,10,3000,5,50,40,181.0,0,53,47,132.6,80.0,135.5,83.3,99.3,86.7
10,8,12,1500,3,30,25,59.3,80,20,0,77.4,43.3,69.5,56.7,61.5,16.7
